name,price,"detail (manuf, quantity)",id
Kamben Av Kotlett,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000417700003
Nötstek Av Bog Storpack,125.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1.6KG",2000429300000
Rökta Ribs Av Kamben,145.96 kr/kg,"GARANT, 445G, Sverige",7340083451652
Grillklubba Storpack,115.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000416600007
Kycklinglårfilé Sweet Chili Strimlad,158.25 kr/kg,"GULDFÅGELN, 600G, Sweden",7313940012617
Sjömansbiff,155.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000425300004
Flintastek Naturell Storpack,109.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1KG",2000400300005
Pulled Chicken,155.44 kr/kg,"GARANT, 450G",7340083492082
Kycklingben Kryddmarinerade,77.95 kr/kg,"KRONFÅGEL, CA1,8KG, Sverige",2332765800006
Grillpartylåda,139.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,5KG",2000413900001
Rumpstek Av Nöt,145.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000425900006
Ribs BBQ,147.26 kr/kg,"JOJJEN, 475G, Sverige",7393287731006
Kycklinglårfilé Minutstrimlor,163.55 kr/kg,"KRONFÅGEL, 550G, Sverige",7300328531006
Spareribs,84.95 kr/kg,"SCAN, CA1,1KG, Sverige",2320196100000
Grytbitar Av Nötstek Storpack,129.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA1,2KG",2000458500006
Hamburgare 4-Pack,139.27 kr/kg,"DALSJÖFORS, 452G, Sweden",7300300046665
Kamben,115.00 kr/kg,"SCAN, CA500G, Sverige",2320197800008
Kycklingbröstfilé Paneng Red Curry Strimlad,158.25 kr/kg,"GULDFÅGELN, 600G, Sverige",7313940012648
Minutbiff Av Ytterlår,169.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000425500008
Fläskytterfilé,125.00 kr/kg,"SCAN, CA1,0KG, Sweden",2320321600009
Kycklingkebab,162.71 kr/kg,"JOJJEN, 350G, Sverige",7393287772245
Kycklinglårfilé EKO KRAV,349.00 kr/kg,"KRONFÅGEL, CA500G, Sweden",2332710200004
Fläsklägg Med Ben,49.95 kr/kg,"SCAN, CA900G, Sverige",2320114100006
Grillskiva Av Högrev,195.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA800G",2000428300001
Kebabgyros,162.71 kr/kg,"JOJJEN, 350G, Sverige",7393287772252
Kycklingben,77.95 kr/kg,"KRONFÅGEL, CA 900G, Sverige",2332784800001
Fläskytterfilé Mörad,119.00 kr/kg,"DALSJÖFORS, CA900G, Sweden",2330045300000
T-Bone Steak,389.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA600G",2000426000002
Taco Chicken,162.71 kr/kg,"JOJJEN, 350G, Sverige",7393287735004
Karréstek Provencale,119.00 kr/kg,"DALSJÖFORS, CA1,1KG, Sweden",2330049100002
Kycklingfilé,219.00 kr/kg,"KRONFÅGEL, CA 300G, Sverige",2332802000000
Rostbiff I Skivor,229.00 kr/kg,"BUTIKSSTYCKAT SVENSKT KÖTT, CA500G",2000424100001
Fläskfilé,209.00 kr/kg,"CA500G, Sweden",2330044300001
